i,j,k,l,result
3,"('bmi', 'children', 'region_northeast')",1,6,0.0332048971474741
3,"('bmi', 'children', 'region_northwest')",1,6,0.029877268951176816
3,"('bmi', 'children', 'region_southeast')",1,6,0.031064437455045724
3,"('bmi', 'children', 'region_southwest')",1,6,0.042860489308359506
3,"('bmi', 'sex_female', 'smoker_no')",1,6,0.7942031059134556
3,"('bmi', 'sex_female', 'region_northeast')",1,6,0.01013446465848633
3,"('bmi', 'sex_female', 'region_northwest')",1,6,0.012867374833101186
3,"('bmi', 'sex_female', 'region_southeast')",1,6,0.0108689457262936
3,"('bmi', 'sex_female', 'region_southwest')",1,6,0.02353613503625218
3,"('bmi', 'smoker_no', 'region_northeast')",1,6,0.7972243410259183
3,"('bmi', 'smoker_no', 'region_northwest')",1,6,0.7925923381531401
3,"('bmi', 'smoker_no', 'region_southeast')",1,6,0.7969040549183133
3,"('bmi', 'smoker_no', 'region_southwest')",1,6,0.7961973544507874
3,"('bmi', 'region_northeast', 'region_northwest')",1,6,0.03066708390742867
3,"('bmi', 'region_northeast', 'region_southeast')",1,6,0.030927955467172974
3,"('bmi', 'region_northeast', 'region_southwest')",1,6,0.038590308277279384
3,"('bmi', 'region_northwest', 'region_southeast')",1,6,0.02914798776161931
3,"('bmi', 'region_northwest', 'region_southwest')",1,6,0.03506312088588359
3,"('bmi', 'region_southeast', 'region_southwest')",1,6,0.03961795302368276
3,"('children', 'sex_female', 'smoker_no')",1,6,0.6690926016843821
3,"('children', 'sex_female', 'region_northeast')",1,6,-0.014347258123317275
3,"('children', 'sex_female', 'region_northwest')",1,6,-0.006355415698015232
3,"('children', 'sex_female', 'region_southeast')",1,6,-0.01317046546562306
3,"('children', 'sex_female', 'region_southwest')",1,6,-0.0038014318185730644
3,"('children', 'smoker_no', 'region_northeast')",1,6,0.6806429590626688
3,"('children', 'smoker_no', 'region_northwest')",1,6,0.6677945890408301
3,"('children', 'smoker_no', 'region_southeast')",1,6,0.6786703423788674
3,"('children', 'smoker_no', 'region_southwest')",1,6,0.6752060470798272
3,"('children', 'region_northeast', 'region_northwest')",1,6,-0.010744822712834612
3,"('children', 'region_northeast', 'region_southeast')",1,6,-0.007942062172715314
3,"('children', 'region_northeast', 'region_southwest')",1,6,-0.006006794097127344
3,"('children', 'region_northwest', 'region_southeast')",1,6,-0.008799570653561295
3,"('children', 'region_northwest', 'region_southwest')",1,6,-0.0074232253413941685
3,"('children', 'region_southeast', 'region_southwest')",1,6,-0.006936368817873406
3,"('sex_female', 'smoker_no', 'region_northeast')",1,6,0.6728621745757197
3,"('sex_female', 'smoker_no', 'region_northwest')",1,6,0.6612214003957619
3,"('sex_female', 'smoker_no', 'region_southeast')",1,6,0.6757636479667459
3,"('sex_female', 'smoker_no', 'region_southwest')",1,6,0.6676827907414598
3,"('sex_female', 'region_northeast', 'region_northwest')",1,6,-0.015940930426983524
3,"('sex_female', 'region_northeast', 'region_southeast')",1,6,-0.013201768876876185
3,"('sex_female', 'region_northeast', 'region_southwest')",1,6,-0.008997015917070028
3,"('sex_female', 'region_northwest', 'region_southeast')",1,6,-0.010860734425299556
3,"('sex_female', 'region_northwest', 'region_southwest')",1,6,-0.0033078321614983253
3,"('sex_female', 'region_southeast', 'region_southwest')",1,6,-0.008614743267457259
3,"('smoker_no', 'region_northeast', 'region_northwest')",1,6,0.6746752886342536
3,"('smoker_no', 'region_northeast', 'region_southeast')",1,6,0.6823295184511822
3,"('smoker_no', 'region_northeast', 'region_southwest')",1,6,0.6797945330732131
3,"('smoker_no', 'region_northwest', 'region_southeast')",1,6,0.6744347062403286
3,"('smoker_no', 'region_northwest', 'region_southwest')",1,6,0.6673663632223256
3,"('smoker_no', 'region_southeast', 'region_southwest')",1,6,0.6786465480687894
3,"('region_northeast', 'region_northwest', 'region_southeast')",1,6,-0.0064895400092024325
3,"('region_northeast', 'region_northwest', 'region_southwest')",1,6,-0.0064895400092024325
3,"('region_northeast', 'region_southeast', 'region_southwest')",1,6,-0.00648954000920221
3,"('region_northwest', 'region_southeast', 'region_southwest')",1,6,-0.0064895400092024325
4,"('age', 'bmi', 'children', 'sex_female')",1,6,0.0818162852859533
4,"('age', 'bmi', 'children', 'smoker_no')",1,6,0.8826693356852875
4,"('age', 'bmi', 'children', 'region_northeast')",1,6,0.10283803524960367
4,"('age', 'bmi', 'children', 'region_northwest')",1,6,0.09598045103977915
4,"('age', 'bmi', 'children', 'region_southeast')",1,6,0.10371969301663375
4,"('age', 'bmi', 'children', 'region_southwest')",1,6,0.10919020934226054
4,"('age', 'bmi', 'sex_female', 'smoker_no')",1,6,0.8828965745851151
4,"('age', 'bmi', 'sex_female', 'region_northeast')",1,6,0.0960941278702463
4,"('age', 'bmi', 'sex_female', 'region_northwest')",1,6,0.09405348207066999
4,"('age', 'bmi', 'sex_female', 'region_southeast')",1,6,0.09588730157292003
4,"('age', 'bmi', 'sex_female', 'region_southwest')",1,6,0.10360126849860252
4,"('age', 'bmi', 'smoker_no', 'region_northeast')",1,6,0.8856073587921339
4,"('age', 'bmi', 'smoker_no', 'region_northwest')",1,6,0.8802521095406889
4,"('age', 'bmi', 'smoker_no', 'region_southeast')",1,6,0.8847900131879518
4,"('age', 'bmi', 'smoker_no', 'region_southwest')",1,6,0.8828169757348016
4,"('age', 'bmi', 'region_northeast', 'region_northwest')",1,6,0.11312102518257938
4,"('age', 'bmi', 'region_northeast', 'region_southeast')",1,6,0.11869947010699089
4,"('age', 'bmi', 'region_northeast', 'region_southwest')",1,6,0.12136352825284813
4,"('age', 'bmi', 'region_northwest', 'region_southeast')",1,6,0.11200660521999306
4,"('age', 'bmi', 'region_northwest', 'region_southwest')",1,6,0.1157282526354445
4,"('age', 'bmi', 'region_southeast', 'region_southwest')",1,6,0.12300413929593579
4,"('age', 'children', 'sex_female', 'smoker_no')",1,6,0.7675264959072843
4,"('age', 'children', 'sex_female', 'region_northeast')",1,6,0.06572283667552181
4,"('age', 'children', 'sex_female', 'region_northwest')",1,6,0.0687944924843179
4,"('age', 'children', 'sex_female', 'region_southeast')",1,6,0.06719216397968297
4,"('age', 'children', 'sex_female', 'region_southwest')",1,6,0.07301322954105871
4,"('age', 'children', 'smoker_no', 'region_northeast')",1,6,0.7750977893073625
4,"('age', 'children', 'smoker_no', 'region_northwest')",1,6,0.7612771040976215
4,"('age', 'children', 'smoker_no', 'region_southeast')",1,6,0.7727056926931953
4,"('age', 'children', 'smoker_no', 'region_southwest')",1,6,0.7693938488117342
4,"('age', 'children', 'region_northeast', 'region_northwest')",1,6,0.06820201053492192
4,"('age', 'children', 'region_northeast', 'region_southeast')",1,6,0.07677440351656883
4,"('age', 'children', 'region_northeast', 'region_southwest')",1,6,0.07402424202919455
4,"('age', 'children', 'region_northwest', 'region_southeast')",1,6,0.07356875732590196
4,"('age', 'children', 'region_northwest', 'region_southwest')",1,6,0.07218531516306537
4,"('age', 'children', 'region_southeast', 'region_southwest')",1,6,0.07511397167598888
4,"('age', 'sex_female', 'smoker_no', 'region_northeast')",1,6,0.7723163464268709
4,"('age', 'sex_female', 'smoker_no', 'region_northwest')",1,6,0.7576170413563398
4,"('age', 'sex_female', 'smoker_no', 'region_southeast')",1,6,0.7720970158512463
4,"('age', 'sex_female', 'smoker_no', 'region_southwest')",1,6,0.7656029535790841
4,"('age', 'sex_female', 'region_northeast', 'region_northwest')",1,6,0.0771291876134097
4,"('age', 'sex_female', 'region_northeast', 'region_southeast')",1,6,0.08417434571285909
4,"('age', 'sex_female', 'region_northeast', 'region_southwest')",1,6,0.08609281174138228
4,"('age', 'sex_female', 'region_northwest', 'region_southeast')",1,6,0.08303130983683527
4,"('age', 'sex_female', 'region_northwest', 'region_southwest')",1,6,0.08768396041163695
4,"('age', 'sex_female', 'region_southeast', 'region_southwest')",1,6,0.08460920664544114
4,"('age', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.7683832492921345
4,"('age', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.7774405736139358
4,"('age', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.774340945780629
4,"('age', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.7663458512237034
4,"('age', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.761884928598828
4,"('age', 'smoker_no', 'region_southeast', 'region_southwest')",1,6,0.7723590540269301
4,"('age', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.08671122567587286
4,"('age', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.08671122567587253
4,"('age', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.08671122567587286
4,"('age', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.08671122567587253
4,"('bmi', 'children', 'sex_female', 'smoker_no')",1,6,0.7917140943301612
4,"('bmi', 'children', 'sex_female', 'region_northeast')",1,6,0.0072387459114503505
4,"('bmi', 'children', 'sex_female', 'region_northwest')",1,6,0.010780014578291364
4,"('bmi', 'children', 'sex_female', 'region_southeast')",1,6,0.005910094722753723
4,"('bmi', 'children', 'sex_female', 'region_southwest')",1,6,0.02199376045238033
4,"('bmi', 'children', 'smoker_no', 'region_northeast')",1,6,0.7956291667773485
4,"('bmi', 'children', 'smoker_no', 'region_northwest')",1,6,0.7909744632495045
4,"('bmi', 'children', 'smoker_no', 'region_southeast')",1,6,0.7948846354097112
4,"('bmi', 'children', 'smoker_no', 'region_southwest')",1,6,0.795831729633677
4,"('bmi', 'children', 'region_northeast', 'region_northwest')",1,6,0.02791769250776066
4,"('bmi', 'children', 'region_northeast', 'region_southeast')",1,6,0.025587233314396496
4,"('bmi', 'children', 'region_northeast', 'region_southwest')",1,6,0.03637082437646344
4,"('bmi', 'children', 'region_northwest', 'region_southeast')",1,6,0.02490536235436236
4,"('bmi', 'children', 'region_northwest', 'region_southwest')",1,6,0.0326518198576875
4,"('bmi', 'children', 'region_southeast', 'region_southwest')",1,6,0.0364630009221244
4,"('bmi', 'sex_female', 'smoker_no', 'region_northeast')",1,6,0.7947405598685878
4,"('bmi', 'sex_female', 'smoker_no', 'region_northwest')",1,6,0.7912892312736066
4,"('bmi', 'sex_female', 'smoker_no', 'region_southeast')",1,6,0.7963226241133935
4,"('bmi', 'sex_female', 'smoker_no', 'region_southwest')",1,6,0.7956631498896916
4,"('bmi', 'sex_female', 'region_northeast', 'region_northwest')",1,6,0.004960621278192967
4,"('bmi', 'sex_female', 'region_northeast', 'region_southeast')",1,6,0.002117580145357567
4,"('bmi', 'sex_female', 'region_northeast', 'region_southwest')",1,6,0.012243396229717263
4,"('bmi', 'sex_female', 'region_northwest', 'region_southeast')",1,6,0.004250098698251992
4,"('bmi', 'sex_female', 'region_northwest', 'region_southwest')",1,6,0.014709007613291303
4,"('bmi', 'sex_female', 'region_southeast', 'region_southwest')",1,6,0.01440950183773082
4,"('bmi', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.7965902546331798
4,"('bmi', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.7978627110846164
4,"('bmi', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.7979771883335279
4,"('bmi', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.7947909670926164
4,"('bmi', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.7942357197396449
4,"('bmi', 'smoker_no', 'region_southeast', 'region_southwest')",1,6,0.7991036720505498
4,"('bmi', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.029788058551757257
4,"('bmi', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.029788058551756924
4,"('bmi', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.029788058551757257
4,"('bmi', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.029788058551756924
4,"('children', 'sex_female', 'smoker_no', 'region_northeast')",1,6,0.673112862324053
4,"('children', 'sex_female', 'smoker_no', 'region_northwest')",1,6,0.6627593904640463
4,"('children', 'sex_female', 'smoker_no', 'region_southeast')",1,6,0.6750105265181578
4,"('children', 'sex_female', 'smoker_no', 'region_southwest')",1,6,0.6699011396972501
4,"('children', 'sex_female', 'region_northeast', 'region_northwest')",1,6,-0.01537479421814969
4,"('children', 'sex_female', 'region_northeast', 'region_southeast')",1,6,-0.01616169860912242
4,"('children', 'sex_female', 'region_northeast', 'region_southwest')",1,6,-0.010618615943451815
4,"('children', 'sex_female', 'region_northwest', 'region_southeast')",1,6,-0.011382556457554704
4,"('children', 'sex_female', 'region_northwest', 'region_southwest')",1,6,-0.0033214602661821857
4,"('children', 'sex_female', 'region_southeast', 'region_southwest')",1,6,-0.012454911472105978
4,"('children', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.6757846119170703
4,"('children', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.6815699669349116
4,"('children', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.6825722746805767
4,"('children', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.6750790213108301
4,"('children', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.6695504657578444
4,"('children', 'smoker_no', 'region_southeast', 'region_southwest')",1,6,0.6797949578161473
4,"('children', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,-0.007175294040099756
4,"('children', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,-0.007175294040099978
4,"('children', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,-0.007175294040099756
4,"('children', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,-0.007175294040099978
4,"('sex_female', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.6667802464937738
4,"('sex_female', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.6755421944749973
4,"('sex_female', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.6725462442418683
4,"('sex_female', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.669360520103107
4,"('sex_female', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.6609467867290978
4,"('sex_female', 'smoker_no', 'region_southeast', 'region_southwest')",1,6,0.6733384793250174
4,"('sex_female', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,-0.012421186517034943
4,"('sex_female', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,-0.012421186517035387
4,"('sex_female', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,-0.012421186517034943
4,"('sex_female', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,-0.012421186517034943
4,"('smoker_no', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.6770589755782581
4,"('smoker_no', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.6770589755782583
4,"('smoker_no', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.6770589755782582
4,"('smoker_no', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.6770589755782583
4,"('region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,-0.0064895400092024325
5,"('age', 'bmi', 'children', 'sex_female', 'smoker_no')",1,6,0.8826550913392239
5,"('age', 'bmi', 'children', 'sex_female', 'region_northeast')",1,6,0.07478393049682175
5,"('age', 'bmi', 'children', 'sex_female', 'region_northwest')",1,6,0.07260449021092674
5,"('age', 'bmi', 'children', 'sex_female', 'region_southeast')",1,6,0.0728481941267708
5,"('age', 'bmi', 'children', 'sex_female', 'region_southwest')",1,6,0.08367840405341476
5,"('age', 'bmi', 'children', 'smoker_no', 'region_northeast')",1,6,0.8852857757830584
5,"('age', 'bmi', 'children', 'smoker_no', 'region_northwest')",1,6,0.8801170816333442
5,"('age', 'bmi', 'children', 'smoker_no', 'region_southeast')",1,6,0.8834028108165816
5,"('age', 'bmi', 'children', 'smoker_no', 'region_southwest')",1,6,0.8833167786463654
5,"('age', 'bmi', 'children', 'region_northeast', 'region_northwest')",1,6,0.09460578342744586
5,"('age', 'bmi', 'children', 'region_northeast', 'region_southeast')",1,6,0.09844743852934013
5,"('age', 'bmi', 'children', 'region_northeast', 'region_southwest')",1,6,0.10306540731944303
5,"('age', 'bmi', 'children', 'region_northwest', 'region_southeast')",1,6,0.0928158790208029
5,"('age', 'bmi', 'children', 'region_northwest', 'region_southwest')",1,6,0.0974148376241587
5,"('age', 'bmi', 'children', 'region_southeast', 'region_southwest')",1,6,0.10523194984271123
5,"('age', 'bmi', 'sex_female', 'smoker_no', 'region_northeast')",1,6,0.8842632487701524
5,"('age', 'bmi', 'sex_female', 'smoker_no', 'region_northwest')",1,6,0.8791584574062682
5,"('age', 'bmi', 'sex_female', 'smoker_no', 'region_southeast')",1,6,0.8841894901904014
5,"('age', 'bmi', 'sex_female', 'smoker_no', 'region_southwest')",1,6,0.8821629208213866
5,"('age', 'bmi', 'sex_female', 'region_northeast', 'region_northwest')",1,6,0.08911847541263918
5,"('age', 'bmi', 'sex_female', 'region_northeast', 'region_southeast')",1,6,0.08967396581969245
5,"('age', 'bmi', 'sex_female', 'region_northeast', 'region_southwest')",1,6,0.09559337220016784
5,"('age', 'bmi', 'sex_female', 'region_northwest', 'region_southeast')",1,6,0.08673483051602104
5,"('age', 'bmi', 'sex_female', 'region_northwest', 'region_southwest')",1,6,0.09485110755251336
5,"('age', 'bmi', 'sex_female', 'region_southeast', 'region_southwest')",1,6,0.09683997442639791
5,"('age', 'bmi', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.8839770041445832
5,"('age', 'bmi', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.8854193753816197
5,"('age', 'bmi', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.8834263809090039
5,"('age', 'bmi', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.8807674829976883
5,"('age', 'bmi', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.8801571762499764
5,"('age', 'bmi', 'smoker_no', 'region_southeast', 'region_southwest')",1,6,0.88566324404493
5,"('age', 'bmi', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.11302905212694025
5,"('age', 'bmi', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.11302905212694025
5,"('age', 'bmi', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.11302905212694081
5,"('age', 'bmi', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.11302905212694037
5,"('age', 'children', 'sex_female', 'smoker_no', 'region_northeast')",1,6,0.7712081485897422
5,"('age', 'children', 'sex_female', 'smoker_no', 'region_northwest')",1,6,0.7582965223213217
5,"('age', 'children', 'sex_female', 'smoker_no', 'region_southeast')",1,6,0.7713344613955571
5,"('age', 'children', 'sex_female', 'smoker_no', 'region_southwest')",1,6,0.7665940739320897
5,"('age', 'children', 'sex_female', 'region_northeast', 'region_northwest')",1,6,0.060839542496354815
5,"('age', 'children', 'sex_female', 'region_northeast', 'region_southeast')",1,6,0.0652096361602359
5,"('age', 'children', 'sex_female', 'region_northeast', 'region_southwest')",1,6,0.06807184544371692
5,"('age', 'children', 'sex_female', 'region_northwest', 'region_southeast')",1,6,0.06620353765945342
5,"('age', 'children', 'sex_female', 'region_northwest', 'region_southwest')",1,6,0.07155901589252922
5,"('age', 'children', 'sex_female', 'region_southeast', 'region_southwest')",1,6,0.06501702033252821
5,"('age', 'children', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.7676141141955186
5,"('age', 'children', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.77552335653711
5,"('age', 'children', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.7740345680184975
5,"('age', 'children', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.7654934552198773
5,"('age', 'children', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.7624484262340917
5,"('age', 'children', 'smoker_no', 'region_southeast', 'region_southwest')",1,6,0.7717163452205644
5,"('age', 'children', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.07352682854856984
5,"('age', 'children', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.07352682854856984
5,"('age', 'children', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.07352682854857007
5,"('age', 'children', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.07352682854856984
5,"('age', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.7636289584788795
5,"('age', 'sex_female', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.7737220820063698
5,"('age', 'sex_female', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.7697745792221313
5,"('age', 'sex_female', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.762861527685293
5,"('age', 'sex_female', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.7576076111497695
5,"('age', 'sex_female', 'smoker_no', 'region_southeast', 'region_southwest')",1,6,0.7690326199945972
5,"('age', 'sex_female', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.08135081718505643
5,"('age', 'sex_female', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.08135081718505621
5,"('age', 'sex_female', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.08135081718505643
5,"('age', 'sex_female', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.08135081718505643
5,"('age', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.7692343242019083
5,"('age', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.769234324201908
5,"('age', 'smoker_no', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.7692343242019081
5,"('age', 'smoker_no', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.769234324201908
5,"('age', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.08671122567587253
5,"('bmi', 'children', 'sex_female', 'smoker_no', 'region_northeast')",1,6,0.792878515493862
5,"('bmi', 'children', 'sex_female', 'smoker_no', 'region_northwest')",1,6,0.7899138309033533
5,"('bmi', 'children', 'sex_female', 'smoker_no', 'region_southeast')",1,6,0.7938033388387071
5,"('bmi', 'children', 'sex_female', 'smoker_no', 'region_southwest')",1,6,0.7949828432474005
5,"('bmi', 'children', 'sex_female', 'region_northeast', 'region_northwest')",1,6,0.0025220485294658035
5,"('bmi', 'children', 'sex_female', 'region_northeast', 'region_southeast')",1,6,-0.0030403999638151102
5,"('bmi', 'children', 'sex_female', 'region_northeast', 'region_southwest')",1,6,0.010630597148772125
5,"('bmi', 'children', 'sex_female', 'region_northwest', 'region_southeast')",1,6,0.0008071002242033831
5,"('bmi', 'children', 'sex_female', 'region_northwest', 'region_southwest')",1,6,0.01282573641094531
5,"('bmi', 'children', 'sex_female', 'region_southeast', 'region_southwest')",1,6,0.010900520354628407
5,"('bmi', 'children', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.7955759841605844
5,"('bmi', 'children', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.796076995246153
5,"('bmi', 'children', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.798630954670094
5,"('bmi', 'children', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.7940739443399137
5,"('bmi', 'children', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.7937460199238865
